协议名称,协议值,备注,属性,类型,子类型,说明
C2S_ARENA_INFO,0x2800,请求竞技场信息,,,,
S2C_ARENA_INFO,0x2800,发送竞技场信息,worriors,list8,arena_worrior,5名挑战对象
,,,ranking,int16,,自己排名
,,,battle,int32,,自己战力
,,,uptime,uint32,,挑战次数更新时间，0代表次数已满不再更新
,,,chance,uint8,,剩余挑战次数
,,,hightest,int16,,历史最高排名
,,,buytimes,int8,,今日已购买次数
C2S_ARENA_RECORD,0x2801,请求竞技场战斗记录,,,,
S2C_ARENA_RECORD,0x2801,发送竞技场战斗记录,records,list8,arena_record,
C2S_ARENA_FIGHT,0x2802,请求挑战,ranking,int16,,挑战对象排名
,,,myranking,int16,,自己排名（与自己实时排名比较，判断数据是否过期）
,,,name,string8,,挑战对象名字
S2C_ARENA_WAR_END,0x2802,竞技场战斗结算,win,int8,,0:赢，1：输，2：平
,,,warreward,list8,reward,战斗奖励
,,,ranking,int16,,自己排名
,,,hightest,int16,,历史最高排名
,,,rise,int16,,排名变化，正为上升，负为下降
,,,breakreward,reward,,突破奖励
,,,uptime,uint32,,挑战次数更新时间，0代表次数已满不再更新
,,,chance,uint8,,剩余挑战次数
C2S_ARENA_BUY,0x2803,请求购买次数,,,,
S2C_ARENA_CHANCE,0x2803,发送剩余挑战次数,uptime,uint32,,挑战次数更新时间，0代表次数已满不再更新
,,,chance,uint8,,剩余挑战次数
,,,buytimes,int8,,今日已购买次数
C2S_ARENA_RANK,0x2804,请求竞技场排行榜,,,,
S2C_ARENA_RANK,0x2804,发送竞技场排行榜,worriors,list8,arena_worrior,排行榜数据
,,,ranking,int16,,自己排名
,,,hightest,int16,,历史最高排名
C2S_ARENA_SECKILL,0x2805,秒杀,ranking,int16,,挑战对象排名
,,,myranking,int16,,自己排名（与自己实时排名比较，判断数据是否过期）
,,,name,string8,,挑战对象名字
C2S_ARENA_TIMES,0x2806,请求剩余挑战次数,,,,
C2S_TSUMEKO_PROGRESS,0x2820,请求生死劫进度信息,,,,
S2C_TSUMEKO_PROGRESS,0x2820,发送生死劫进度信息,progress,tsumeko_progress,,个人生死劫进度，已通关的最高关卡
C2S_TSUMEKO_INFO,0x2821,请求生死劫某劫信息,kalpa,int8,,请求第kalpa劫信息
S2C_TSUMEKO_INFO,0x2821,发送生死劫某劫信息,kalpa,int8,,返回第kalpa劫信息
,,,progress,tsumeko_progress,,个人生死劫进度，已通关的最高关卡
,,,assist,int8,,今日已协助次数
,,,puzzles,list8,tsumeko_puzzle,关卡数据
