类型名称,备注,属性,类型,子类型,说明,解析类型
version,版本号,major ,int16,,主版本,列表
,,minor,int16,,次版本,
,,patch,int16,,修订版本,
ptyperow,协议数据类型,tid,int16,,类型ID,
,,name,string8,,类型名,
,,subtid,int16,,子类型ID,
protocoltype,自定义数据类型,tid,int16,,类型ID,
,,name,string8,,类型名,
,,fileds,list8,ptyperow,字段,
pdescrow,协议字段,name,string8,,,
,,tid,int16,,类型ID,
,,subtid,int16,,子类型ID,
protocoldesc,协议,cmd,uint16,,协议号,
,,fileds,list8,pdescrow,协议描述,
role,账号角色,rid,int32,,,
,,shape,int16,,,
,,cls,int8,,,
,,grade,int16,,,
,,desc,byte8,,,
,,flag,int8,,操作状态,
,,newtm,int32,,,
,,theme,int8,,,
,,name,string8,,,
,,offline,int32,,,
,,logintm,int32,,,
,,orgsrvid,int32,,,
roleinfo,角色信息,rid,int32,,角色ID,
,,name,string8,,角色名,
,,shape,int16,,造型,
,,desc,byte8,,描述,
,,cls,int8,,职业,
,,grade,int16,,等级,
,,vip,int8,,VIP,
,,battle,int32,,战力,
prop8,编号属性,idx,uint8,,属性编号,
,,value,int8,,属性值,
prop16,编号属性,idx,uint8,,属性编号,
,,value,int16,,属性值,
prop32,编号属性,idx,uint8,,属性编号,
,,value,int32,,属性值,
propstr,编号属性,idx,uint8,,属性编号,
,,value,string8,,属性值,
propbyte,编号属性,idx,uint8,,属性编号,
,,value,byte8,,属性值,
battleratio,战力系数,idx,uint8,,属性编号,
,,ratio,uint16,,系数，需要除以10，因为存在0.5这种,
reputedata,声望数据,rtype,uint8,,声望编号(11-127),
,,value,int32,,声望值,
,,total,int32,,历史总声望,
npctalkopt,NPC对话选项,idx,int32,,选项值,
,,name,string8,,选项名,
item,物品,id,int32,,物品ID,
,,sid,int32,,物品SID,
,,amount,int32,,物品数量,
,,pos,int16,,物品位置,
,,key,int8,,绑定标记,
,,quality,int8,,品质,
,,extra,int8,,极品属性条数,
,,battle,int32,,战力,
