协议名称,协议值,备注,属性,类型,子类型,说明
S2A_REGISTER,0x1,注册,signsrv,uint32,,连接标识
,,,signgame,uint32,,连接标识
,,,srvid,uint32,,服务器ID
,,,stamp,uint32,,服务器时间
,,,linger,uint8,,强制重连
S2A_REGISTER2,0x2F,服务器ID,srvtype,int8,,服务器类型
,,,srvid,uint16,,服务器ID
,,,publicver,string8,,服务公共库版本
A2S_REGISTER,0x1,注册,writable,uint8,,是否可写
S2A_CLOSE,0xff,关闭链接,,,,
S2A_HELLO,0xa,,msg,string16,,
S2A_RUNSIMPLE,0xb,,srvid,uint16,,服务器ID
,,,pid,int32,,
,,,msg,string16,,
A2S_HELLO,0xa,,msg,string16,,
A2S_RUNSIMPLE,0xb,,pid,int32,,
,,,msg,string16,,
A2S_LARGE_PACKET,0xc,代理大数据包(>16K),subpack,uint16,,当前包
,,,totalpack,uint16,,总包数
,,,proxycmd,uint16,,
,,,data,byte16,,
S2A_LARGE_PACKET,0xc,代理大数据包(>16K),subpack,uint16,,当前包
,,,totalpack,uint16,,总包数
,,,proxycmd,uint16,,
,,,data,byte16,,
S2A_AUTH,0x2,认证,account,string8,,账号
,,,client_type,int32,,客户端类型（SDK）
,,,token,string8,,
S2A_AUTH_GM,0xf8,GM认证,account,string8,,账号
,,,password,string8,,密码
A2S_AUTH,0x2,认证回复,errno,int8,,错误码
,,,aid,int32,,账号ID
,,,first_role,int32,,第一个角色ID
,,,source,int32,,
,,,idno,string8,,身份证
,,,question1,string8,,密保1
,,,question2,string8,,密保2
,,,question3,string8,,密保3
,,,account,string8,,账号
,,,phone,string8,,电话号码
,,,regtime,int32,,注册时间
,,,qudao,string8,,渠道
A2S_AUTH_GM,0xf8,GM认证回复,errno,int8,,错误码
,,,aid,int32,,账号ID
S2A_ACCOUNT_QUERYQUDAO,0x40,查询账号渠道,account,string8,,
A2S_ACCOUNT_GETQUDAO,0x40,账号渠道,errno,int8,,错误码
,,,qudao,string8,,渠道
,,,regtime,int32,,注册时间
,,,aid,int32,,
S2A_ACCOUNT_GETFREEZE,0x41,查询账号冻结状态,aid,int32,,账号ID
A2S_ACCOUNT_GETFREEZE,0x41,账号冻结状态,errno,int8,,错误码
,,,freeze,int8,,冻结状态
S2A_SEGMENT_NEW,0xcf,申请号段,tid,int8,,号段类别
,,,srvid,uint16,,服务器ID
,,,maxseg,uint16,,当前最大段
,,,segcnt,uint8,,申请数量
S2A_SEGMENT_CHECK,0xd0,检查号段,tid,int8,,号段类别
,,,serial,uint16,,
,,,segcnt,uint16,,
A2S_SEGMENT_NEW,0xcf,号段,tid,int8,,号段类别
,,,errno,int8,,
,,,segs,list8,segment,
A2S_SEGMENT_CHECK,0xd0,检查号段,subpack,uint8,,当前包
,,,totalpack,uint8,,总包数
,,,tid,int8,,号段类别
,,,errno,int8,,
,,,oldserial,uint16,,
,,,oldsegcnt,uint16,,
,,,serial,uint16,,
,,,segs,list8,segment,
A2S_SEGMENT_PUSH,0xd1,推送号段,tid,int8,,号段类别
,,,oldserial,uint16,,
,,,oldsegcnt,uint16,,
,,,serial,uint16,,
,,,segs,list8,segment,
S2A_ACCOUNT_UPDATEINFO,0x38,更新账号信息,aid,int32,,账号ID
,,,rid,int32,,角色ID
,,,cls,int8,,
,,,grade,int16,,
,,,name,string8,,
,,,shape,int16,,
,,,battle,int32,,
,,,accsource,int32,,账号渠道
,,,account,string8,,账号
,,,ip,string8,,
,,,firstlogintm,int32,,
,,,lastonline,int32,,
,,,loginreward,string8,,
,,,eventtype,int8,,事件类型
A2S_ACCOUNT_UPDATEINFO,0x38,,errno,int8,,
S2A_ACCOUNT_SETPLATFORM,0x5a,,rid,int32,,角色ID
,,,platform,int8,,
S2A_HTTP_REQUEST,0xf5,HTTP请求,url,string16,,地址
,,,params,byte16,,参数
,,,method,int8,,0 POST， 1 GET
A2S_HTTP_RESPOND,0xf5,HTTP结果,errno,int8,,
,,,code,int32,,
,,,content,string16,,
S2A_POINT_QUERY,0x10,充值查询,aid,int32,,账号ID
,,,gid,int32,,角色ID
A2S_POINT_QUERY,0x10,查询结果（暂未使用）,,,,
S2A_POINT_COST,0x11,消耗充值点,opid,int32,,订单序号
,,,gid,int32,,角色ID
,,,pt,int32,,充值点数
,,,total,int32,,总充值点数
A2S_POINT_COST,0x11,充值点,errno,int8,,
,,,aid,int32,,账号ID
,,,gid,int32,,角色ID
,,,opid,int32,,订单序号
,,,pt,int32,,充值额
,,,productid,int32,,充值产品ID
S2A_CREATE_GUEST,0x55,创建游客账号,ip,string8,,IP
A2S_CREATE_GUEST,0x55,游客账号信息,errno,int8,,
,,,account,string8,,账号
,,,pwd,string8,,密码
