协议名称,协议值,备注,属性,类型,子类型,说明
S2A_POINT_CARDPAY,0x14,卡密充值,,,,
S2A_POINT_GETGIFT,0x15,领取充值礼包,,,,
S2A_POINT_GETTOTALADDGIFT,0x16,领取累计充值礼包,,,,
S2A_POINT_RETPOINT,0x17,优质渠道充值返利,,,,
S2A_POINT_SYNC,0x20,,,,,
S2A_POINT_CHECK,0x21,充值对账,,,,
S2A_POINT_ROLLBACK,0x22,,,,,
S2A_POINT_CHECKREBATE,0x1d,预充值返利,,,,
S2A_POINT_QUERYTOTALADDGIFT,0xb7,查询累计充值标记,,,,
S2A_RM_ROLEPAY_IN_DB,0xb8,清除数据库角色充值记录,,,,
A2S_POINT_CARDPAY,0x14,卡密充值结果结果,,,,
A2S_POINT_GETGIFT,0x15,充值礼包结果,,,,
A2S_POINT_GETTOTALADDGIFT,0x16,累计充值礼包结果,,,,
A2S_POINT_RETPOINT,0x17,优质渠道充值返利,,,,
A2S_POINT_SYNC,0x20,,,,,
A2S_POINT_CHECK,0x21,充值对账,,,,
A2S_POINT_ROLLBACK,0x22,,,,,
A2S_POINT_PRECHARGEINFO,0x25,预充值返利,,,,
A2S_POINT_QUERYTOTALADDGIFT,0xb7,累计充值标记,,,,
A2S_RM_ROLEPAY_IN_DB,0xb8,清除数据库角色充值记录,,,,
,,,,,,
S2A_POINT_CHECKOVERLIMIT,0x1e,检查充值限额,,,,
S2A_CHARGELIMIT_ACCOUNT,0xd2,设置账号充值限额,,,,
S2A_CHARGELIMIT_DEVICE,0xd3,设置设备充值限额,,,,
S2A_CHARGELIMIT_PRICE,0xd4,设置充值限额,,,,
A2S_POINT_SETLIMITRESULT,0x27,设置充值限额结果,,,,
A2S_POINT_LIMITRESULT,0x26,检查充值限额结果,,,,
,,,,,,
S2A_CHARGESIGNIN_UPDATE,0xd5,删档期间更新充值签到,,,,
S2A_SEVENDAYSIGNIN_UPDATE,0xd6,删档期间更新7天签到,,,,
S2A_SIGNIN_INFO,0xd7,查询删档期间充值和签到信息,,,,
S2A_TRANSFER_PRECHARGE,0x29,删档账号转换,,,,
A2S_SIGNIN_INFO,0x28,删档期间充值和签到信息,,,,
A2S_TRANSFER_PRECHARGE,0x29,删档账号转换,,,,
,,,,,,
S2A_ACCOUNT_QUERYROLES,0x2a,查询角色,,,,
S2A_ACCOUNT_LOGIN,0x30,未成年登录,,,,
S2A_ACCOUNT_LOGOUT,0x31,未成年登录,,,,
S2A_ACCOUNT_MODIFYIDNO,0x32,修改身份证,,,,
S2A_ACCOUNT_GETVERIFY,0x33,验证邮箱,,,,
