协议名称,协议值,备注,属性,类型,子类型,说明
S2P_SERVER_CONNECT,0x9b,连接(底层模拟),ip,uint32,,
S2P_SERVER_DISCONNECT,0x9c,断开(底层模拟),,,,
S2P_REGISTER,0x80,注册,srvtype,int8,,服务器类型
,,,srvid,uint16,,服务器ID
,,,birthday,uint32,,开服时间
,,,online,int32,,在线人数
,,,iplist,list8,uint32,地址
,,,combatport,uint16,,端口
S2P_HELLO,0x20,,msg,string16,,
S2P_RUNSIMPLE,0x21,,srvid,uint16,,服务器ID
,,,pid,int32,,
,,,msg,string16,,
S2P_SERVER_ONLINE,0x85,报告在线人数,online,int32,,在线人数
P2S_HELLO,0x20,,msg,string16,,
P2S_RUNSIMPLE,0x21,,pid,int32,,
,,,msg,string16,,
S2P_LOOK_WARRECORD,0x100,观看录像,pid,int32,,
,,,filename,string8,,
P2S_LOOK_WARRECORD,0x100,观看录像,pid,int32,,
,,,packlist,byte16,,
S2P_BEST_DATA,0x101,请求天下第一数据,,,,
P2S_BEST_DATA,0x101,同步天下第一数据,data,byte32,,
P2S_BEST_COMMAND,0x102,向game服发送指令,cmd,int8,,
S2P_BEST_REPLY,0x102,指令响应,cmd,int8,,
,,,data,byte16,,
S2P_CROSSSC_ENTER,0x103,进入跨服场景,id,int32,,对象ID
,,,scid,int16,,场景ID
,,,x,int16,,X坐标
,,,y,int16,,Y坐标
S2P_CROSSSC_MOVE,0x104,上报位置,id,int32,,对象ID
,,,x,int16,,X坐标
,,,y,int16,,Y坐标
S2P_CROSSSC_LEAVE,0x105,离开跨服场景,id,int32,,对象ID
S2P_CROSSSC_CACHE,0x106,场景缓存,id,int32,,对象ID
,,,cid,int8,,缓存类别
,,,pack,byte8,,协议包
,,,flag,int8,,0 增加，1 删除
P2S_CROSSSC_CREATE,0x103,创建跨服场景,scsid,int16,,场景SID
,,,scid,int16,,场景ID
P2S_CROSSSC_ADDROLE,0x104,增加场景对象,scid,int16,,场景ID
,,,x,int16,,X坐标
,,,y,int16,,Y坐标
,,,id,int32,,对象ID
P2S_CROSSSC_ROLEMOVE,0x105,移动场景对象,scid,int16,,场景ID
,,,movelist,list8,maptrace,
P2S_CROSSSC_DELROLE,0x106,删除场景对象,scid,int16,,场景ID
,,,id,int32,,对象ID
P2S_CROSSSC_CACHE,0x108,场景缓存,id,int32,,对象ID
,,,cid,int8,,缓存类别
,,,pack,byte8,,协议包
,,,flag,int8,,0 增加，1 删除
P2S_CROSSSC_DESTROY,0x107,销毁跨服场景,scid,int16,,
P2S_HUODONG_RPC,0x110,活动远程调用,id,int16,,活动ID
,,,func,string8,,方法名
,,,param,byte32,,参数
S2P_HUODONG_RPC,0x110,活动远程调用,id,int16,,活动ID
,,,func,string8,,方法名
,,,param,byte32,,参数
S2P_HUODONG_GM,0x111,game服通知proxy服执行GM命令,func,string8,,方法名
,,,param,byte32,,参数
P2S_TIP_MSG,0x112,proxy服向玩家发消息提示,pids,list16,uint32,玩家ID
,,,msg,string16,,消息内容
,,,show_type,int8,,0:飘字，1:系统频道
S2P_RANK_REQDATA,0x120,game服请求排行榜数据,rankid,int16,,排行榜ID
,,,roleid,int32,,请求者ID
,,,selfvalue,int32,,请求者自身值
,,,issimple,int8,,是否是简易排行榜
S2P_RANK_CHALLANGE,0x121,game服请求挑战排行榜,rankid,int16,,
,,,rankdata,byte16,,
P2S_RANK_RESDATA,0x120,proxy发送排行榜数据,roleid,int32,,
,,,rankid,int16,,
,,,selfrank,int16,,
,,,selfvalue,int32,,
,,,desc,byte8,,
,,,shape,int16,,
,,,datalist,list8,rank_data,
,,,issimple,int8,,
