协议名称,协议值,备注,属性,类型,子类型,说明
S2S_HELLO,0x20,,msg,string16,,
S2S_HELLO_RET,0x21,,msg,string16,,
S2S_TABLE_QUERY,0x101,查询表格,table_idid,int16,,表格ID
,,,key,int32,,主键
S2S_TABLE_LOAD,0x102,表格查询结果,subpack,uint8,,当前包
,,,totalpack,uint8,,总包数
,,,table_idid,int16,,
,,,key,int32,,
,,,datas,byte16,,
S2S_TABLE_RELEASE,0x103,释放,table_idid,int16,,
,,,key,int32,,
S2S_SYSTEM_MESSAGE,0x110,全服通告,chgrp,int8,,频道
,,,msg,string16,,
S2S_CHAT,0x111,跨服聊天,ch,int8,,频道
,,,pid,int32,,角色ID
,,,shape,int16,,
,,,vip,int8,,
,,,name,string8,,
,,,msg,string16,,消息
S2S_CHAT_SYSTEM,0x112,跨服系统信息,ch,int8,,频道
,,,msg,string16,,
S2S_LOAD_MIRROR,0x120,加载镜像,pid,int32,,角色ID
S2S_MIRROR_DATA,0x121,镜像数据,errno,int8,,0表示成功，1表示数据库错误，2表示数据不存在，3表示镜像数据为空
,,,dberr,int32,,数据库错误
,,,pid,int32,,角色ID
,,,mirror,byte16,,镜像数据
S2S_LOAD_ROLEINFO,0x122,加载roleinfo,rid,int32,,角色ID
S2S_HOLD_ROLEINFO,0x123,持有roleinfo,rid,int32,,角色ID
S2S_FREE_ROLEINFO,0x124,释放roleinfo,rid,int32,,角色ID
S2S_ROLEINFO_DATA,0x125,roleinfo数据,rid,int32,,角色ID
,,,cls,int8,,职业
,,,grade,int16,,等级
,,,name,string8,,名字
,,,shape,int16,,造型
,,,desc,byte8,,描述
,,,vip,int8,,VIP等级
,,,battle,int32,,战力
,,,online,int32,,上线时间
,,,offline,int32,,离线时间
,,,gangid,int32,,当前帮派ID
,,,contrib,int32,,当前帮贡
,,,totalcontrib,int32,,历史帮贡
,,,sign,string8,,签名
S2S_ROLEINFO_UPDATE,0x126,roleinfo更新,rid,int32,,角色ID
,,,updict,byte8,,更新数据
S2S_REMOTE_ENTERWAR,0x130,远程进入战斗,rid,int32,,
,,,warid,int32,,
,,,win,int8,,
,,,bout,int8,,
,,,packlist,list16,warpack,战斗包
,,,holdswitchwar,int8,,
S2S_REMOTE_WARPLAYEND,0x131,远程战斗播放完毕,rid,int32,,
,,,warid,int32,,
S2S_ESCORT_ADD,0x501,添加跨服镖车,car,byte16,,镖车数据
S2S_ESCORT_FINISH,0x502,跨服镖车结束,rid,uint32,,角色ID
,,,start,uint32,,开始押镖时间
S2S_ESCORT_REQUEST,0x503,询问原服是否可以劫镖,self_rid,uint32,,劫镖玩家角色ID
,,,car_rid,uint32,,镖车主人角色ID
,,,start,uint32,,开始押镖时间
S2S_ESCORT_RESPONSE,0x504,回复是否可以劫镖,errno,uint8,,"0:可以,1:自己已劫过,2:镖车已不能被劫,3:其它人正在劫此镖车,4:镖车不存在"
,,,self_rid,uint32,,劫镖玩家角色ID
,,,car_rid,uint32,,镖车主人角色ID
,,,start,uint32,,开始押镖时间
S2S_ESCORT_RESULT,0x505,劫镖结果,self_rid,uint32,,劫镖玩家角色ID
,,,name,string8,,劫镖玩家角色名
,,,car_rid,uint32,,镖车主人角色ID
,,,start,uint32,,开始押镖时间
,,,result,int8,,"0:拦截成功,1:拦截失败"
,,,time,uint32,,
